j,x_lo,x_hi,c_prev_lo,c_prev_hi,c_lo,c_hi,nominal_cost,cost_upper,cost_gap
15,1.362143147206008,1.362145147206008,1.333784044409658,1.333792044409658,1.292227014005679,1.292235014005679,0.032720398572715,0.032728812595089,0.000008414022375
16,1.322045047433576,1.322047047433576,1.292227014005679,1.292235014005679,1.252464408172421,1.252472408172421,0.032316711330172,0.032325301777503,0.000008590447331
17,1.283698581854851,1.283700581854851,1.252464408172421,1.252472408172421,1.214279521326583,1.214287521326583,0.031922625680041,0.031931376210084,0.000008750530043
18,1.246890512058992,1.246892512058992,1.214279521326583,1.214287521326583,1.177490985614160,1.177498985614160,0.031536990066648,0.031545885254950,0.000008895188302
19,1.211442378182464,1.211444378182464,1.177490985614160,1.177498985614160,1.141945294760851,1.141953294760851,0.031158826143261,0.031167851361906,0.000009025218644
20,1.177203128657148,1.177205128657148,1.141945294760851,1.141953294760851,1.107511208606600,1.107519208606600,0.030787293750815,0.030796435074362,0.000009141323547
21,1.144043604894404,1.144045604894403,1.107511208606600,1.107519208606600,1.074075495365456,1.074083495365456,0.030421664339299,0.030430908455828,0.000009244116528
22,1.111852345082117,1.111854345082117,1.074075495365456,1.074083495365456,1.041539643484173,1.041547643484173,0.030061300479802,0.030070634626197,0.000009334146394
23,1.080532343862219,1.080534343862219,1.041539643484173,1.041547643484173,1.009817288188642,1.009825288188642,0.029705639848559,0.029715051757010,0.000009411908451
24,1.049998516403259,1.050000516403259,1.009817288188642,1.009825288188642,0.978832172833818,0.978840172833818,0.029354182546644,0.029363660389648,0.000009477843004
25,1.020175689424607,1.020177689424607,0.978832172833818,0.978840172833818,0.948516515932666,0.948524515932666,0.029006480943115,0.029016013296890,0.000009532353775
26,0.990996991814559,0.990998991814559,0.948516515932666,0.948524515932666,0.918809689729584,0.918817689729584,0.028662131451638,0.028671707251659,0.000009575800020
27,0.962402552004052,0.962404552004052,0.918809689729584,0.918817689729584,0.889657140715557,0.889665140715557,0.028320767805660,0.028330376212183,0.000009608406522
28,0.934338433455230,0.934340433455230,0.889657140715557,0.889665140715557,0.861009499949307,0.861017499949307,0.027982055507121,0.027991685962102,0.000009630454981
29,0.906755756849486,0.906757756849486,0.861009499949307,0.861017499949307,0.832821843662133,0.832829843662133,0.027645687202809,0.027655329452140,0.000009642249331
30,0.879609969995672,0.879611969995672,0.832821843662133,0.832829843662133,0.805053073851088,0.805061073851087,0.027311378800125,0.027321022863875,0.000009644063750
